pointer_offsets;pointer_value;separators;extract
0x8D76D0,0xCC58D4,0xCC595C,0xCCC6CC,0xCCC754,0xD4D1C0,0xD4D1C4,0xD4E200,0xD4E204,0xDA066C,0xDA18CC,0xDA1944;0x0094CF6C;00 00 00 00;ゴonic Overload The End
0x8D5840,0x8D7200,0xCD5DAC,0xCD5E34,0xCD9A3C,0xCD9AC4,0xCDA91C,0xCDA9A4,0xD1B264,0xD1B374,0xD1E5EC,0xD1E6FC,0xD42F40,0xD42F44,0xD48664,0xD48668,0xD496A4,0xD496A8,0xD70948,0xD7094C,0xD71A24,0xD71A28,0xD7396C,0xD73970,0xD9620C,0xD9FE94,0xD9FE9C,0xDA00D4,0xDA00EC,0xDA011C,0xDA0144,0xDA05CC,0xDA0674,0xDA1A24,0xDA1ADC,0xDA1B44,0xDA2874,0xDA287C,0xDA288C;0x0094CF98;00 00 00 00;Blaster Blade
0xD3B30C,0xD3B394,0xDA29DC;0x0094CFB0;00 00 00 00;  Kuzunoha
0xD0DD5C,0xD0DDE4,0xDA22C4;0x0094CFC8;00 00;Comet Witch Server
0xCD78C4,0xCD794C,0xDA1AAC;0x0094CFDC;00 00;煉獄竜騎士 タ    
0xCD03E4,0xCD046C,0xDA1994;0x0094CFF4;00 00 00 00;Helper Guru Wolf
0xC3339C,0xC334AC,0xC6EA04,0xC6EB14,0xD1FB4C,0xD1FBD4,0xD2117C,0xD21204,0xD9FF2C,0xD9FF34,0xD9FF3C,0xD9FF44,0xDA0814,0xDA085C,0xDA08B4,0xDA08BC,0xDA099C,0xDA1074,0xDA10C4,0xDA10CC,0xDA112C,0xDA240C,0xDA243C,0xDA2474,0xDA2484,0xDA2674,0xDA26C4,0xDA284C,0xDA2924,0xDA2954,0xDA295C,0xDA2A5C;0x0094D010;00 00 00 00;Dimensional Robot
0xC86A3C,0xC86AC4,0xC8AEB4,0xC8AF3C,0xC8B744,0xC8B854,0xC8E02C,0xC8E0B4,0xDA0D0C,0xDA0D5C,0xDA0DD4,0xDA0DDC,0xDA0DE4,0xDA0E3C,0xDA1294,0xDA1BEC,0xDA1BF4;0x0094D01C;00 00 00 00;封竜
0xC87B3C,0xC87C4C,0xC8ECEC,0xC8EDFC,0xDA0D24,0xDA0D6C,0xDA0D74,0xDA0DEC,0xDA0DF4,0xDA0DFC,0xDA0E54,0xDA17A4,0xDA17AC,0xDA180C,0xDA269C,0xDA275C;0x0094D024;00 00;古代竜
0xCA1B9C,0xCA1CAC,0xCA30DC,0xCA31EC,0xCA94BC,0xCA95CC,0xDA118C,0xDA11BC,0xDA12E4;0x0094D02C;00 00 00 00;Light Sanctuary
0xD0C5FC,0xD0C684,0xD0EBB4,0xD0EC3C,0xDA2264,0xDA22EC;0x0094D038;00 00 00 00;Current Witch Home
0xCD61EC,0xCD6274,0xCD9E7C,0xCD9F04,0xCDAC4C,0xCDACD4,0xDA1A54,0xDA1B0C,0xDA1B5C;0x0094D04C;00 00;煉獄竜 Dragonic Neoffraim
0xC3713C,0xC371C4,0xD9FFFC;0x0094D070;00 00;星輝兵 Magnesium
0xCBC05C,0xCBC0E4,0xCC3CAC,0xCC3D34,0xDA1734,0xDA1864;0x0094D08C;00 00 00 00;Flash Gun Osmium
0x8D7610,0xCDC7EC,0xCDC874,0xCE3804,0xCE388C,0xDA0A54,0xDA0A6C,0xDA0AA4,0xDA0ACC,0xDA1C34;0x0094D0A8;00 00 00 00;隠密魔竜 ガrm    
0xCADA54,0xCADB64,0xDA0ADC,0xDA140C,0xDA19EC,0xDA19F4,0xDA2734;0x0094D0C4;00 00 00 00;Mel メ   
0x8D7720,0xD2A52C,0xD2A5B4,0xDA2854;0x0094D0D8;00 00;Ultimate Dimensional Robot Great Dai Yusha
0xCDEB84,0xCDEC0C,0xD294B4,0xD2953C,0xDA1BCC,0xDA280C;0x0094D0FC;00 00 00 00;Sand Dust In ator Home
0xD100F4,0xD1017C,0xDA235C;0x0094D114;00 00;God's Day Home
0xCC881C,0xCC88A4,0xD602D8,0xD602DC,0xDA18FC;0x0094D128;00 00 00 00;Steam Night Pzull Iri
0xD0FB1C,0xD0FBA4,0xD1248C,0xD12514,0xDA233C,0xDA23DC;0x0094D148;00 00;Black Snake Witch Home
0xC35EA4,0xC35F2C,0xCBB5BC,0xCBB644,0xCC320C,0xCC3294,0xCC4A7C,0xCC4B04,0xD9FFBC,0xDA16F4,0xDA1824,0xDA18AC;0x0094D15C;00 00;Vow Releaser Agroval
0xCD5FCC,0xCD6054,0xCD9C5C,0xCD9CE4,0xDA1A3C,0xDA1AF4;0x0094D178;00 00;Determination releaser Agroval
0xCB4AF4,0xCB4B7C,0xDA15BC;0x0094D194;00 00;銃irrel Gunman Saul
0xCB473C,0xCB47C4,0xD5D2E8,0xD5D2EC,0xDA15AC;0x0094D1AC;00 00 00 00;Frozen Augle
0xC77F4C,0xC7805C,0xDA0A8C,0xDA0A94,0xDA11FC,0xDA1264,0xDA126C,0xDA127C,0xDA2714;0x0094D1C4;00 00 00 00;Azer
0xD27FFC,0xD28084,0xDA27E4;0x0094D1D0;00 00 00 00;煉獄竜騎士 Nazel
0xCE5FDC,0xCE6064,0xD3AFDC,0xD3B064,0xDA1C74,0xDA29D4;0x0094D1E8;00 00;Dosing Guardian Angel As Model
0xD1765C,0xD176E4,0xDA24C4;0x0094D204;00 00 00 00;Duo demon ウェパル
0xCE6C9C,0xCE6D24,0xDA1CA4;0x0094D224;00 00;Fen  
0x8D75D4,0xD13CFC,0xD13D84,0xDA08AC,0xDA08D4,0xDA094C,0xDA242C;0x0094D230;00 00;銀河超獣 ズィール
0x8D7584,0xD29FDC,0xD2A064,0xD66E80,0xD66E84,0xD734C0,0xD734C4,0xD962AC,0xDA1DD4,0xDA1DEC,0xDA1E04,0xDA2834;0x0094D244;00 00 00 00;Top Idol ヴィ   
0xCA7F14,0xCA7F9C,0xD781B4;0x0094D264;00 00;ectar  
0xCC8684,0xCC870C,0xDA18F4;0x0094D274;00 00;Viktor
0xCE630C,0xCE6394,0xDA1C8C;0x0094D280;00 00;Gaure
0xCD640C,0xCD6494,0xCDA09C,0xCDA124,0xD1B7B4,0xD1B83C,0xDA1A5C,0xDA1B14,0xDA2574;0x0094D28C;00 00 00 00;Parallel Root Gheel
0xC7DCCC,0xC7DCFC,0xC7DDDC,0xC7DE0C,0xC85014,0xC85044,0xC85124,0xC85154,0xCA0A9C,0xCA0B24,0xCA83BC,0xCA8444,0xCD124C,0xCD12D4,0xD1FCC4,0xD1FD4C,0xD3DFBC,0xD3E044,0xDA0B74,0xDA0B94,0xDA0BC4,0xDA0BCC,0xDA0BD4,0xDA0C3C,0xDA0CAC,0xDA0CCC,0xDA1154,0xDA11DC,0xDA1254,0xDA12AC,0xDA19BC,0xDA19C4,0xDA1CF4,0xDA25FC,0xDA260C,0xDA2684,0xDA2914,0xDA2A3C,0xDA2A4C;0x0094D2A8;00 00 00 00;宝石騎士
0xCB385C,0xCB38E4,0xCBAF5C,0xCBAFE4,0xDA1584,0xDA16CC;0x0094D2B4;00 00 00 00;Peony Gunman Toray
0xC931FC,0xC93284,0xD78160,0xD9AA48,0xD9AFAC,0xD9CAA0;0x0094D2CC;00 00; Paradin 
0xC821FC,0xC82284,0xD78164,0xD9A934,0xD9CCC8;0x0094D2E0;00 00;Gold Paradin
0xC81A04,0xC81A8C,0xD2834C,0xD2845C,0xD78158,0xD9CDDC;0x0094D2F4;00 00;Royal Paladin
0xCB8564,0xCB85EC,0xDA1654;0x0094D308;00 00 00 00;鋼闘機 Digalion
0x8D76EC,0xCCE2F4,0xCCE37C,0xCD596C,0xCD59F4,0xD4E4A4,0xD4E4A8,0xD4F95C,0xD4F960,0xDA0A3C,0xDA0B6C,0xDA195C,0xDA1A0C;0x0094D320;00 00;ゴonic Ka  Vermilion
0xCBF02C,0xCBF0B4,0xDA17BC;0x0094D348;00 00;不死竜 ドラゴン Dragon
0xD3ACAC,0xD3AD34,0xDA29C4;0x0094D360;00 00 00 00;探索者 Light Blaze Dragon
0xCB2FDC,0xCB3064,0xDA1554;0x0094D384;00 00;喧嘩屋 Wild Fist Dragon
0xCBBC1C,0xCBBCA4,0xCC386C,0xCC38F4,0xCC4DAC,0xCC4E34,0xDA170C,0xDA183C,0xDA18BC;0x0094D3A8;00 00 00 00;煉獄竜 Whi  Dragon 
0xCB2DBC,0xCB2E44,0xCBA29C,0xCBA324,0xDA154C,0xDA1694;0x0094D3CC;00 00;喧嘩屋 Big Bangslash Dragon
0xC350D4,0xC3515C,0xD9FF8C;0x0094D3F4;00 00;喧嘩屋 Skyhaul Dragon
0xCBB9FC,0xCBBA84,0xCC364C,0xCC36D4,0xDA1704,0xDA1834;0x0094D414;00 00 00 00;煉獄竜 Menas Laser Dragon
0xC36E0C,0xC36E94,0xCD662C,0xCD66B4,0xCDA2BC,0xCDA344,0xCDAF7C,0xCDB004,0xD9FFF4,0xDA1A6C,0xDA1B24,0xDA1B6C;0x0094D438;00 00;Starry Photon
0xCBD2F4,0xCBD37C,0xDA177C;0x0094D450;00 00 00 00;Unmatched Starlight Radon
0xD147BC,0xD14844,0xDA241C,0xDA2464,0xDA247C;0x0094D468;00 00;Inigman
0xD0FED4,0xD0FF5C,0xDA2354;0x0094D474;00 00;Dog eagle witch Jasmine
0x8D772C,0xD2A74C,0xD2A7D4,0xDA0EB4,0xDA102C,0xDA2864;0x0094D48C;00 00 00 00;魔界侯爵 Amon
0xCE1D94,0xCE1E1C,0xCE2604,0xCE268C,0xDA0F54,0xDA0FB4,0xDA0FBC,0xDA0FC4,0xDA1C14,0xDA1C1C,0xDA1C24,0xDA2784,0xDA285C;0x0094D4A0;00 00;Amon
0xCBD6AC,0xCBD734,0xCC485C,0xCC48E4,0xDA1784,0xDA189C;0x0094D4A8;00 00;海賊麗人 Pinot・
0xCBC6BC,0xCBC744,0xCC430C,0xCC4394,0xDA1754,0xDA1884;0x0094D4C0;00 00 00 00;Explorer ケlin
0xD0F8FC,0xD0F984,0xD1226C,0xD122F4,0xD12C84,0xD12D0C,0xDA232C,0xDA23CC,0xDA23FC;0x0094D4D8;00 00;Des  Norn
0xCBB7DC,0xCBB864,0xCC342C,0xCC34B4,0xDA16FC,0xDA182C;0x0094D4EC;00 00 00 00;Sunset Releaser Traheln
0xCBC8DC,0xCBC964,0xDA1764;0x0094D508;00 00;Royal Road Releaser Faron
0xD42244,0xD422BC,0xDA258C,0xDA2644,0xDA2A84;0x0094D520;00 00;The Root of Bonds Greyon
0xD3DD8C,0xD3DE14,0xDA2A44;0x0094D538;00 00 00 00;宝石騎士 Home 
0xC946B4,0xC9473C,0xD78190,0xD9AB5C,0xD9AE98,0xD9CEF0,0xD9D340;0x0094D550;00 00 00 00;Link Joker
0xD3B63C,0xD3B6C4,0xD732B8,0xD732BC,0xDA29E4;0x0094D564;00 00;Barking Sky Tiger
0xC8A0F4,0xC8A17C,0xD78168,0xD9AD84;0x0094D580;00 00;Angel Feather
0xD29184,0xD2920C,0xDA2804;0x0094D594;00 00;Duo Love Drops ク
0xCF9C7C,0xCF9D8C,0xCFD5FC,0xCFD70C,0xCFD81C,0xCFD92C,0xCFDB2C,0xCFDB5C,0xCFDBB4,0xCFDBE4,0xCFF994,0xCFFAA4,0xCFFBB4,0xCFFCC4,0xCFFDB4,0xCFFDE4,0xCFFE3C,0xCFFE6C,0xDA191C,0xDA1F04,0xDA1F0C,0xDA1F14,0xDA1F1C,0xDA1FDC,0xDA1FE4,0xDA1FEC,0xDA1FFC,0xDA200C,0xDA2014,0xDA201C,0xDA2814,0xDA2A54;0x0094D5B0;00 00;Battle Sister
0xCB341C,0xCB34A4,0xCBA8FC,0xCBA984,0xDA156C,0xDA16B4;0x0094D5C0;00 00 00 00;鋼闘機 バ     
0xCBBE3C,0xCBBEC4,0xCC3A8C,0xCC3B14,0xDA171C,0xDA184C;0x0094D5D8;00 00;喧嘩屋 Big Bangslash Buster
0xCC7E04,0xCC7E8C,0xD5FD90,0xD5FD94,0xD611AC,0xD611B0,0xDA18E4,0xDA1B84;0x0094D600;00 00;ゴonic Blade Master
0xC3EAE4,0xC3EBF4,0xC56DA4,0xC56E2C,0xC5803C,0xC5814C,0xC5BCCC,0xC5BD54,0xC5C904,0xC5CA14,0xCDB2AC,0xCDB3BC,0xCECB2C,0xCECC3C,0xDA004C,0xDA005C,0xDA0074,0xDA0084,0xDA009C,0xDA05DC,0xDA05F4,0xDA05FC,0xDA0604,0xDA060C,0xDA0634,0xDA0684,0xDA069C,0xDA06A4,0xDA1B7C,0xDA1D44,0xDA2704,0xDA290C;0x0094D620;00 00;Blaster
0xCB4384,0xCB440C,0xDA15A4;0x0094D62C;00 00;鋼闘機 Leionette
0xCD684C,0xCD68D4,0xCDA4DC,0xCDA564,0xDA1A7C,0xDA1B34;0x0094D644;00 00 00 00;星輝兵 Sword Viper
0xCBC27C,0xCBC304,0xCC3ECC,0xCC3F54,0xDA173C,0xDA186C;0x0094D660;00 00 00 00;星輝兵 Astrolley Par
0xCBE58C,0xCBE614,0xDA179C;0x0094D67C;00 00;古代竜 Night Armor
0xCCF47C,0xCCF504,0xDA197C;0x0094D694;00 00 00 00;Vanquisher
